DATE,OPEN,HIGH,LOW,CLOSE
20-11-1987,0.303571,0.321429,0.296875,0.316964
23-11-1987,0.316964,0.323661,0.310268,0.323661
24-11-1987,0.328125,0.337054,0.322545,0.330357
25-11-1987,0.330357,0.330357,0.321429,0.325893
27-11-1987,0.323661,0.325893,0.310268,0.3125
30-11-1987,0.301339,0.308036,0.272321,0.294643
01-12-1987,0.299107,0.303571,0.292411,0.296875
02-12-1987,0.296875,0.299107,0.290179,0.290179
03-12-1987,0.294643,0.297991,0.265625,0.272321
04-12-1987,0.270089,0.279018,0.265625,0.274554
07-12-1987,0.276786,0.296875,0.276786,0.294643
08-12-1987,0.299107,0.311384,0.296875,0.308036
09-12-1987,0.308036,0.323661,0.302455,0.3125
10-12-1987,0.301339,0.321429,0.296875,0.310268
11-12-1987,0.310268,0.310268,0.299107,0.303571
14-12-1987,0.308036,0.334821,0.305804,0.332589
15-12-1987,0.337054,0.341518,0.330357,0.334821
16-12-1987,0.337054,0.354911,0.332589,0.350446
17-12-1987,0.361607,0.363839,0.350446,0.350446
18-12-1987,0.352679,0.368304,0.350446,0.361607
21-12-1987,0.361607,0.372768,0.359375,0.372768
22-12-1987,0.372768,0.372768,0.361607,0.370536
23-12-1987,0.372768,0.381696,0.368304,0.377232
24-12-1987,0.375,0.383929,0.372768,0.38058
28-12-1987,0.377232,0.379464,0.352679,0.359375
29-12-1987,0.361607,0.377232,0.359375,0.376116
30-12-1987,0.379464,0.390625,0.379464,0.387277
31-12-1987,0.379464,0.383929,0.373884,0.375
04-01-1988,0.381696,0.399554,0.377232,0.399554
05-01-1988,0.410714,0.412946,0.395089,0.398438
06-01-1988,0.401786,0.401786,0.390625,0.390625
07-01-1988,0.388393,0.399554,0.379464,0.397321
08-01-1988,0.397321,0.404018,0.352679,0.357143
11-01-1988,0.357143,0.381696,0.354911,0.379464
12-01-1988,0.383929,0.388393,0.354911,0.375
13-01-1988,0.375,0.386161,0.367188,0.377232
14-01-1988,0.381696,0.382813,0.375,0.377232
15-01-1988,0.388393,0.401786,0.379464,0.382813
18-01-1988,0.383929,0.383929,0.375,0.381696
19-01-1988,0.377232,0.386161,0.36942,0.381696
20-01-1988,0.383929,0.383929,0.341518,0.354911
21-01-1988,0.361607,0.363839,0.351563,0.358259
22-01-1988,0.361607,0.363839,0.341518,0.350446
25-01-1988,0.352679,0.370536,0.352679,0.364955
26-01-1988,0.363839,0.366071,0.350446,0.354911
27-01-1988,0.359375,0.361607,0.345982,0.354911
28-01-1988,0.357143,0.370536,0.354911,0.368304
29-01-1988,0.370536,0.372768,0.359375,0.370536
01-02-1988,0.372768,0.379464,0.36942,0.372768
02-02-1988,0.370536,0.373884,0.361607,0.368304
03-02-1988,0.366071,0.368304,0.350446,0.352679
04-02-1988,0.352679,0.358259,0.348214,0.354911
05-02-1988,0.357143,0.360491,0.34375,0.344866
08-02-1988,0.34375,0.350446,0.337054,0.345982
09-02-1988,0.348214,0.356027,0.345982,0.354911
10-02-1988,0.354911,0.370536,0.354911,0.366071
11-02-1988,0.366071,0.368304,0.359375,0.362723
12-02-1988,0.362723,0.370536,0.361607,0.366071
16-02-1988,0.366071,0.368304,0.357143,0.368304
17-02-1988,0.368304,0.379464,0.368304,0.373884
18-02-1988,0.371652,0.381696,0.370536,0.372768
19-02-1988,0.372768,0.375,0.370536,0.372768
22-02-1988,0.370536,0.389509,0.370536,0.386161
23-02-1988,0.386161,0.390625,0.377232,0.381696
